14.102;0.937;pico
16.103;0.932;vale
18.104;0.942;pico
20.105;0.936;vale
26.108;0.941;pico
28.109;0.934;vale
30.11;0.94;pico
32.111;0.934;vale
44.117;0.937;pico
46.118;0.942;vale
48.119;0.936;pico
50.12;0.941;vale
55.866;0.942;pico
59.593;0.936;vale
61.593;0.937;pico
63.234;0.934;vale
65.235;0.937;pico
67.236;0.932;vale
71.238;0.941;pico
75.24;0.932;vale
77.241;0.938;pico
89.249;0.933;vale
91.25;0.927;pico
95.252;0.932;vale
105.257;0.94;pico
109.259;0.93;vale
112.605;0.936;pico
114.293;0.929;vale
116.08;0.93;pico
119.835;0.926;vale
121.789;0.931;pico
123.374;0.927;vale
131.971;0.935;pico
137.077;0.933;vale
140.744;0.924;pico
144.716;0.933;vale
151.868;0.935;pico
160.07;0.924;vale
163.7;0.932;pico
173.097;0.937;vale
175.048;0.932;pico
177.004;0.934;vale
180.873;0.899;pico
184.666;1.077;vale
186.663;0.734;pico
188.663;1.111;vale
190.627;0.797;pico
192.589;1.098;vale
194.348;0.776;pico
196.129;1.018;vale
198.127;0.909;pico
199.801;1.118;vale
201.79;0.799;pico
203.771;1.074;vale
205.604;0.805;pico
207.424;1.085;vale
209.28;0.78;pico
211.279;1.035;vale
213.14;0.8;pico
215.032;1.051;vale
216.957;0.82;pico
218.885;1.056;vale
220.786;0.774;pico
222.78;1.02;vale
224.647;0.94;pico
228.592;1.004;vale
230.444;0.856;pico
232.26;1.068;vale
234.202;0.792;pico
236.013;1.098;vale
238.002;0.761;pico
239.939;1.077;vale
241.676;0.788;pico
243.591;1.124;vale
245.298;0.791;pico
247.197;1.078;vale
249.043;0.809;pico
250.836;1.065;vale
252.625;0.843;pico
254.624;1.079;vale
256.409;0.846;pico
261.714;0.931;vale
265.452;0.924;pico
271.209;0.931;vale
274.973;0.924;pico
278.707;0.93;vale
280.504;0.927;pico
282.286;0.929;vale
284.261;0.927;pico
289.557;1.432;vale
291.342;0.573;pico
293.127;1.16;vale
294.739;0.75;pico
298.596;1.009;vale
300.708;0.885;pico
302.165;0.944;vale
303.939;0.734;pico
312.467;1.507;vale
323.469;0.308;pico
327.224;0.998;vale
329.156;0.774;pico
331.133;0.962;vale
332.937;0.588;pico
338.596;1.153;vale
340.499;0.767;pico
347.52;1.031;vale
350.744;0.923;pico
352.303;0.924;vale
354.191;0.787;pico
355.235;1.076;vale
356.626;0.795;pico
358.263;0.992;vale
360.264;0.693;pico
362.265;1.001;vale
364.266;0.954;pico
366.267;1.011;vale
369.422;0.784;pico
371.423;1.205;vale
375.425;0.88;pico
